Brand;Price;Model;Year;Odometer;Transmission;Fuel;Horse_Power;Engine
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2649000;jolion;2024;None;робот;бензин;150;1.5
haval;2649000;jolion;2024;None;робот;бензин;150;1.5
geely;3599990;okavango;2024;None;робот;бензин;200;2.0
haval;2649000;jolion;2024;None;робот;бензин;150;1.5
haval;2449000;jolion;2024;None;робот;бензин;150;1.5
haval;2299000;jolion;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2449000;jolion;2024;None;робот;бензин;150;1.5
haval;2649000;jolion;2024;None;робот;бензин;150;1.5
haval;2649000;jolion;2024;None;робот;бензин;150;1.5
haval;2299000;jolion;2024;None;робот;бензин;143;1.5
haval;2299000;jolion;2024;None;робот;бензин;143;1.5
haval;2299000;jolion;2024;None;робот;бензин;143;1.5
haval;2299000;jolion;2024;None;робот;бензин;143;1.5
haval;2499000;jolion;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2499000;jolion;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2499000;jolion;2024;None;робот;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2499000;jolion;2024;None;робот;бензин;143;1.5
haval;2799000;jolion;2024;None;робот;бензин;150;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2179000;m6;2024;None;механика;бензин;143;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
;1420000;;2024;None;механика;бензин;118;1.6
;2019000;;2024;None;акпп;бензин;123;1.6
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2599000;f7;2024;None;робот;бензин;150;1.5
haval;2949000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2949000;f7;2024;None;робот;бензин;190;2.0
haval;2949000;f7;2024;None;робот;бензин;190;2.0
;2099000;;2024;None;акпп;бензин;123;1.6
haval;3349000;f7;2024;None;робот;бензин;190;2.0
;2129000;;2024;None;акпп;бензин;123;1.6
haval;3349000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3349000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3399000;f7;2024;None;робот;бензин;190;2.0
haval;3199000;f7;2024;None;робот;бензин;190;2.0
haval;3199000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3399000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3399000;f7;2024;None;робот;бензин;190;2.0
haval;3399000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3249000;dargo;2024;None;робот;бензин;192;2.0
haval;3249000;dargo;2024;None;робот;бензин;192;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3249000;dargo;2024;None;робот;бензин;192;2.0
haval;3599000;dargo;2024;None;робот;бензин;192;2.0
